This table contains data used to generate Figure 2 in Guo et al., Nature 466: 835-840 (2010).
Log2 fold changes (miR-155-transfected vs mock-transfected HeLa cells) for genes that passed the read count threshold: at least 100 mRNA-Seq tags and at least 100 ribosome-protected fragments
RefseqAccession	noSite_rnaseq_log2fc	>=1site_rnaseq_log2fc	>=1site_protDetected_rnaseq_log2fc	>=1site_protSupported_rnaseq_log2fc	noSite_footprint_log2fc	>=1site_footprint_log2fc	>=1site_protDetected_footprint_log2fc	>=1site_protSupported_footprint_log2fc	noSite_translEff_log2fc	>=1site_translEff_log2fc	>=1site_protDetected_translEff_log2fc	>=1site_protSupported_translEff_log2fc
NM_017847	-0.0605772658301	-	-	-	0.406183479305	-	-	-	0.466760745135	-	-	-
NM_017846	0.407023804953	-	-	-	0.282026558167	-	-	-	-0.124997246786	-	-	-
NM_004037	0.331076732245	-	-	-	0.399802888968	-	-	-	0.0687261567226	-	-	-
NM_016648	0.506769691974	-	-	-	0.259629898439	-	-	-	-0.247139793535	-	-	-
NM_017840	-0.155882167928	-	-	-	0.498638161357	-	-	-	0.654520329285	-	-	-
NM_004749	0.0146941151419	-	-	-	0.31029805897	-	-	-	0.295603943828	-	-	-
NM_016640	-0.0640451931512	-	-	-	0.180162219133	-	-	-	0.244207412284	-	-	-
NM_001862	-0.0839607670331	-	-	-	-0.276111918332	-	-	-	-0.192151151299	-	-	-
NM_001863	-0.209095525955	-	-	-	-0.574364158029	-	-	-	-0.365268632074	-	-	-
NM_001142290	-0.0588274838802	-	-	-	-0.229699452989	-	-	-	-0.170871969109	-	-	-
NM_001867	-0.0902404365116	-	-	-	0.68183849786	-	-	-	0.772078934372	-	-	-
NM_001865	0.204206921953	-	-	-	0.00159850936895	-	-	-	-0.202608412584	-	-	-
NM_016085	-0.0181854993828	-	-	-	0.0169176477627	-	-	-	0.0351031471456	-	-	-
NM_174856	-0.0832617021904	-	-	-	0.594662527668	-	-	-	0.677924229858	-	-	-
NM_001142298	0.380549462317	-	-	-	0.246476383785	-	-	-	-0.134073078532	-	-	-
NM_016080	-0.0842625312564	-	-	-	0.11241811732	-	-	-	0.196680648576	-	-	-
NM_006893	-0.302222176221	-	-	-	-0.359800355012	-	-	-	-0.0575781787914	-	-	-
NM_001514	0.147623393587	-	-	-	0.363879099175	-	-	-	0.216255705588	-	-	-
NM_005809	-0.244872150686	-	-	-	-0.432224501611	-	-	-	-0.187352350925	-	-	-
NM_001190	0.286669082145	-	-	-	0.497003056299	-	-	-	0.210333974154	-	-	-
NM_001905	0.116423873168	-	-	-	0.0745752307005	-	-	-	-0.0418486424679	-	-	-
NM_001469	0.032813827334	-	-	-	0.0196660011204	-	-	-	-0.0131478262136	-	-	-
