This table contains data used to generate Figure 2 in Guo et al., Nature 466: 835-840 (2010).
Log2 fold changes (miR-223-knockout vs wild-type neutrophils) for genes that passed the read count threshold: at least 100 mRNA-Seq tags and at least 100 ribosome-protected fragments
RefseqAccession	noSite_rnaseq_log2fc	>=1site_rnaseq_log2fc	>=1site_protDetected_rnaseq_log2fc	>=1site_protSupported_rnaseq_log2fc	noSite_footprint_log2fc	>=1site_footprint_log2fc	>=1site_protDetected_footprint_log2fc	>=1site_protSupported_footprint_log2fc	noSite_translEff_log2fc	>=1site_translEff_log2fc	>=1site_protDetected_translEff_log2fc	>=1site_protSupported_translEff_log2fc
NM_026616	0.0547982927077	-	-	-	-0.0978714111523	-	-	-	-0.15266970386	-	-	-
NM_016905	-0.178326145645	-	-	-	-0.0802773511374	-	-	-	0.0980487945079	-	-	-
NM_026614	-0.579934991082	-	-	-	-0.170378005656	-	-	-	0.409556985426	-	-	-
NM_026612	0.00605766122347	-	-	-	0.0187326546938	-	-	-	0.0126749934703	-	-	-
NM_026613	0.282756115191	-	-	-	0.00461154644905	-	-	-	-0.278144568742	-	-	-
NM_016904	0.12690069625	-	-	-	0.451573813125	-	-	-	0.324673116875	-	-	-
NM_007658	-0.129508817854	-	-	-	-0.271576003372	-	-	-	-0.142067185518	-	-	-
NM_197979	0.153124723361	-	-	-	-0.0612525254553	-	-	-	-0.214377248816	-	-	-
NM_019996	0.295977303054	-	-	-	-0.252592900004	-	-	-	-0.548570203058	-	-	-
NM_177325	0.0725070989741	-	-	-	-0.272922429079	-	-	-	-0.345429528053	-	-	-
NM_177320	0.178552775938	-	-	-	-0.156628237267	-	-	-	-0.335181013205	-	-	-
NM_008638	-0.441985365278	-	-	-	-0.0549662626084	-	-	-	0.38701910267	-	-	-
NM_020560	-0.383257596915	-	-	-	0.0935905197743	-	-	-	0.47684811669	-	-	-
NM_019998	-0.116325228504	-	-	-	0.0329332593106	-	-	-	0.149258487815	-	-	-
NM_029720	0.323252541998	-	-	-	0.0714180986257	-	-	-	-0.251834443372	-	-	-
NM_011078	-0.28239790445	-	-	-	0.24934513554	-	-	-	0.53174303999	-	-	-
NM_201357	-0.052866425178	-	-	-	0.20729923896	-	-	-	0.260165664138	-	-	-
NM_001008542	0.0720124618984	-	-	-	-0.00812756538155	-	-	-	-0.0801400272799	-	-	-
NM_025814	-0.257478458486	-	-	-	0.0125002085049	-	-	-	0.269978666991	-	-	-
NM_178347	0.0397407874798	-	-	-	-0.207441781281	-	-	-	-0.247182568761	-	-	-
NM_011070	-0.194216142024	-	-	-	-0.146165286794	-	-	-	0.04805085523	-	-	-
NM_011072	-0.143293310638	-	-	-	-0.0816177009964	-	-	-	0.0616756096419	-	-	-
NM_021554	0.241043183134	-	-	-	0.430460564562	-	-	-	0.189417381428	-	-	-
NM_021555	-0.296648583428	-	-	-	-0.00346175408655	-	-	-	0.293186829342	-	-	-
NM_026276	0.0440204241751	-	-	-	-0.201583647359	-	-	-	-0.245604071534	-	-	-
NM_026277	-0.12757169608	-	-	-	-0.321285450641	-	-	-	-0.193713754561	-	-	-
NM_134077	0.0408157409911	-	-	-	-0.0763623011344	-	-	-	-0.117178042125	-	-	-
NM_134078	0.274102803431	-	-	-	-0.193045281299	-	-	-	-0.46714808473	-	-	-
NM_134079	-0.156797663695	-	-	-	-0.387917059092	-	-	-	-0.231119395397	-	-	-
NM_011276	-0.0328346074856	-	-	-	-0.0691132817444	-	-	-	-0.0362786742588	-	-	-
NM_021559	0.270127652211	-	-	-	0.227084630616	-	-	-	-0.0430430215951	-	-	-
NM_011274	0.0134210251216	-	-	-	0.0868326346979	-	-	-	0.0734116095763	-	-	-
NM_007451	-0.126412862512	-	-	-	-0.119236380257	-	-	-	0.00717648225495	-	-	-
NM_007450	-0.010125824672	-	-	-	0.0496881262221	-	-	-	0.0598139508941	-	-	-
NM_153521	0.129526165657	-	-	-	-0.226666838119	-	-	-	-0.356193003776	-	-	-
NM_007452	-0.5378634567	-	-	-	-0.330756870625	-	-	-	0.207106586075	-	-	-
NM_007455	0.25011536627	-	-	-	-0.256600123778	-	-	-	-0.506715490048	-	-	-
NM_001146025	-0.128218041975	-	-	-	-0.285807555286	-	-	-	-0.157589513311	-	-	-
NM_020601	0.0480820325682	-	-	-	-0.169712434719	-	-	-	-0.217794467288	-	-	-
NM_133225	-0.036065577994	-	-	-	-0.197000957439	-	-	-	-0.160935379445	-	-	-
NM_010925	-0.0439224703694	-	-	-	-0.0739675220933	-	-	-	-0.0300450517239	-	-	-
NM_010927	0.347993245854	-	-	-	0.757971578866	-	-	-	0.409978333012	-	-	-
NM_026106	-0.0874118255879	-	-	-	0.276060774536	-	-	-	0.363472600124	-	-	-
NM_028769	-0.146565021527	-	-	-	-0.0423548679934	-	-	-	0.104210153534	-	-	-
NM_020608	0.0722191242398	-	-	-	-0.102819919788	-	-	-	-0.175039044028	-	-	-
NM_019869	-0.205433799945	-	-	-	-0.253319856091	-	-	-	-0.047886056146	-	-	-
NM_019868	0.0443855940918	-	-	-	0.0378487497247	-	-	-	-0.00653684436715	-	-	-
NM_001033632	-7.216000811e-05	-	-	-	-0.0921918301704	-	-	-	-0.0921196701622	-	-	-
NM_028850	-0.0752785041973	-	-	-	0.334760148142	-	-	-	0.410038652339	-	-	-
NM_001142580	-0.0865232613649	-	-	-	0.0228161418267	-	-	-	0.109339403192	-	-	-
NM_029582	0.0164233078612	-	-	-	-0.0399598959504	-	-	-	-0.0563832038116	-	-	-
NM_198613	0.0931358935708	-	-	-	-0.0291730101893	-	-	-	-0.12230890376	-	-	-
NM_008636	0.216688393249	-	-	-	-0.262480682358	-	-	-	-0.479169075607	-	-	-
NM_025921	-0.057659651561	-	-	-	0.249688062816	-	-	-	0.307347714377	-	-	-
NM_025920	0.160919716664	-	-	-	0.393176834367	-	-	-	0.232257117703	-	-	-
NM_001083331	-0.066150381111	-	-	-	0.026031551009	-	-	-	0.0921819321199	-	-	-
NM_025927	-0.567922573152	-	-	-	0.0205633383694	-	-	-	0.588485911522	-	-	-
NM_025928	0.0550324394323	-	-	-	0.0149349897179	-	-	-	-0.0400974497144	-	-	-
NM_001033299	0.18719574048	-	-	-	0.11385121798	-	-	-	-0.0733445224994	-	-	-
NM_054089	-0.201679065244	-	-	-	-0.326437938406	-	-	-	-0.124758873162	-	-	-
NM_009787	-0.0730963268034	-	-	-	0.00382991563445	-	-	-	0.0769262424378	-	-	-
NM_029219	-0.247165021973	-	-	-	-0.0490827295334	-	-	-	0.19808229244	-	-	-
NM_172684	-0.0931216406164	-	-	-	-0.105514642636	-	-	-	-0.01239300202	-	-	-
