Database of representative transcript models for protein-coding genes in mouse liver cells and for the poly(A)-tail length standards.
Transcript models from the UCSC refFlat table for mouse had their 3' ends re-annotated using 3P-Seq (Jan et al., Nature 2011) data from mouse liver; only genes detected by 3P-Seq are included in the table.
Coordinates of mouse genes are based on the mm9 genome assembly.
RefseqAccession	GeneSymbol	Chromosome	Strand	TxStart	TxEnd	CdsStart	CdsEnd	ExonCount	ExonStarts	ExonEnds
NM_172856	Cers6	chr2	+	68699613	68952337	68699692	68946651	10	68699613,68772571,68785283,68840803,68885201,68888836,68906685,68909388,68943059,68946498,	68699862,68772677,68785414,68840861,68885252,68888929,68906814,68909495,68943216,68952337,
NM_138752	Plekhg2	chr7	-	29144628	29157681	29144823	29156242	19	29144628,29146826,29147844,29149316,29149489,29149603,29149743,29149935,29150300,29150471,29152653,29152992,29153309,29153697,29153839,29155079,29155256,29156133,29156878,	29146280,29147727,29148018,29149333,29149528,29149651,29149845,29149969,29150387,29150564,29152854,29153130,29153460,29153744,29153906,29155180,29155516,29156264,29157681,
NM_026058	Cers4	chr8	+	4493404	4526306	4515555	4523780	11	4493404,4515554,4516872,4518239,4518602,4519462,4520215,4520553,4521173,4523353,4523603,	4493590,4515728,4516990,4518358,4518660,4519513,4520308,4520682,4521280,4523510,4526306,
NM_001033253	Plekhg1	chr10	-	6379244	6473874	6382088	6473507	16	6379244,6388335,6394207,6396835,6398937,6400616,6405814,6406007,6406189,6408559,6412793,6416287,6427335,6442883,6473099,6473815,	6383140,6389995,6394230,6396874,6399021,6400650,6405907,6406103,6406372,6408691,6412944,6416334,6427405,6442984,6473614,6473874,
NM_029789	Cers2	chr3	+	95119173	95127511	95123984	95126711	11	95119173,95123983,95124563,95124863,95125111,95125257,95125496,95125752,95126048,95126241,95126570,	95119267,95124157,95124681,95124982,95125169,95125308,95125589,95125881,95126155,95126395,95127511,
NM_153804	Plekhg3	chr12	+	77634546	77680025	77661154	77679395	19	77634546,77661115,77663192,77664741,77665083,77665243,77665488,77665784,77666145,77666478,77666770,77667154,77672073,77672590,77673036,77673381,77674233,77676843,77678661,	77634805,77661505,77663290,77664811,77665130,77665394,77665620,77665967,77666238,77666565,77666804,77667253,77672163,77672629,77673056,77673645,77674347,77678263,77680025,
NM_021552	Nsa2	chr13	-	97899085	97907881	97901115	97907712	6	97899085,97901797,97903493,97905248,97905475,97907709,	97901183,97901990,97903673,97905399,97905663,97907881,
NM_172919	Zfp846	chr9	+	20385771	20399636	20392334	20398915	6	20385771,20392278,20392952,20395256,20395782,20397604,	20386122,20392367,20393079,20395328,20395865,20399636,
NM_021524	Nampt	chr12	+	33505199	33538232	33505434	33535398	11	33505199,33515031,33517896,33519766,33523163,33524015,33525789,33527549,33531570,33533481,33535287,	33505491,33515188,33518000,33519895,33523322,33524152,33526015,33527669,33531711,33533616,33538232,
NM_080469	Eri3	chr4	+	117222969	117346885	117223200	117346428	9	117222969,117225572,117237225,117255204,117261702,117265675,117287773,117321911,117346345,	117223335,117225648,117237503,117255321,117261762,117265767,117287846,117322011,117346885,
NM_009859	Sept7	chr9	+	25060039	25116148	25060239	25115137	13	25060039,25072977,25085124,25094252,25095768,25101269,25103979,25105396,25107076,25108996,25111301,25113710,25115097,	25060300,25073080,25085231,25094353,25095903,25101387,25104072,25105493,25107128,25109122,25111437,25113850,25116148,
