Database of representative transcript models for protein-coding genes in HEK293T cells and for the poly(A)-tail length standards.
Transcript models from the UCSC refFlat table for human had their 3' ends re-annotated using 3P-Seq (Jan et al., Nature 2011) data from HEK293T cells; only genes detected by 3P-Seq are included in the table.
Coordinates of human genes are based on the hg18 genome assembly.
RefseqAccession	GeneSymbol	Chromosome	Strand	TxStart	TxEnd	CdsStart	CdsEnd	ExonCount	ExonStarts	ExonEnds
NM_017582	UBE2Q1	chr1	-	152787676	152797744	152789537	152797653	13	152787676,152790037,152790496,152790870,152791020,152791192,152791503,152791835,152792131,152793834,152794527,152794959,152797326,	152789569,152790104,152790592,152790919,152791079,152791283,152791564,152791920,152792272,152793885,152794632,152795064,152797744,
NM_001201365	RNF14	chr5	+	141326585	141350043	141333337	141347539	9	141326585,141330452,141333331,141334552,141338051,141339871,141343128,141344551,141347481,	141326653,141330626,141333491,141334704,141338579,141340100,141343301,141344682,141350043,
NM_173469	UBE2Q2	chr15	+	73922681	73980440	73923062	73978854	13	73922681,73933781,73939273,73948346,73952823,73955582,73957356,73958493,73962761,73969830,73970314,73976390,73978822,	73923242,73933883,73939378,73948406,73952964,73955667,73957417,73958584,73962820,73969879,73970410,73976457,73980440,
NM_014868	RNF10	chr12	+	119456514	119499772	119456997	119498852	17	119456514,119468590,119474684,119476903,119479467,119479731,119482911,119485130,119485532,119485995,119487257,119487613,119489010,119493376,119497816,119497977,119498775,	119457154,119468787,119474884,119476994,119479652,119479868,119483072,119485256,119485809,119486129,119487375,119487715,119489166,119493477,119497874,119498136,119499772,
NM_014372	RNF11	chr1	+	51474532	51511704	51475016	51509582	3	51474532,51508215,51509410,	51475139,51508385,51511704,
NM_173527	REM2	chr14	+	22422271	22426726	22422336	22425958	5	22422271,22423722,22424314,22425072,22425662,	22422439,22424064,22424388,22425280,22426726,
NM_004710	SYNGR2	chr17	+	73676265	73680401	73676292	73679612	4	73676265,73678492,73679185,73679414,	73676391,73678730,73679325,73680401,
NM_001040160	C16orf13	chr16	-	624411	626348	624526	626291	5	624411,624719,625281,625612,626094,	624645,624798,625341,625775,626348,
NM_145270	C16orf11	chr16	+	550422	555528	553295	555308	3	550422,553256,554674,	550662,554377,555528,
NM_033446	MVB12B	chr9	+	128128943	128309136	128129029	128305363	10	128128943,128142607,128183163,128188661,128194165,128197674,128223953,128283468,128286072,128305276,	128129110,128142730,128183271,128188758,128194295,128197797,128224048,128283524,128286132,128309136,
NM_025029	MZT2B	chr2	+	130655970	130664754	130656325	130664669	3	130655970,130656669,130664511,	130656495,130656818,130664754,
NM_020412	CHMP1B	chr18	+	11841388	11844441	11841510	11842110	1	11841388,	11844441,
NM_000303	PMM2	chr16	+	8799170	8850693	8799240	8849183	8	8799170,8803156,8806124,8807673,8812436,8812995,8814348,8849081,	8799306,8803268,8806201,8807765,8812536,8813071,8814464,8850693,
NM_002676	PMM1	chr22	-	40302851	40315817	40303267	40315755	8	40302851,40303757,40304755,40309908,40310230,40310476,40312025,40315668,	40303390,40303873,40304831,40310008,40310322,40310553,40312143,40315817,
NM_000050	ASS1	chr9	+	132309914	132366454	132317436	132366229	16	132309914,132315479,132317431,132319512,132323608,132329318,132331932,132336041,132336692,132342078,132344923,132345592,132354540,132360074,132364712,132366183,	132310203,132315541,132317541,132319581,132323797,132329375,132332007,132336112,132336723,132342169,132345008,132345657,132354672,132360231,132364778,132366454,
NM_002486	NCBP1	chr9	+	99435525	99475847	99435984	99473302	23	99435525,99442896,99443664,99445306,99447219,99447713,99449594,99450110,99452605,99453412,99455900,99456982,99457804,99458113,99460742,99463048,99464144,99465056,99466442,99468865,99470948,99471695,99473188,	99436018,99442985,99443765,99445463,99447327,99447835,99449664,99450326,99452703,99453476,99456011,99457047,99457867,99458188,99460846,99463171,99464247,99465150,99466546,99468980,99471077,99471809,99475847,
NM_152601	ZNF709	chr19	-	12432999	12456632	12435809	12456471	4	12432999,12438275,12438537,12456468,	12437547,12438333,12438664,12456632,
NM_021269	ZNF708	chr19	-	21267239	21304052	21267915	21303854	4	21267239,21283887,21285142,21303851,	21269381,21283983,21285269,21304052,
NM_001136116	ZNF879	chr5	+	178383381	178393988	178384611	178393247	5	178383381,178384576,178387079,178387638,178391811,	178383511,178384644,178387206,178387734,178393988,
NM_001080404	ZNF878	chr19	-	12012806	12024782	12015619	12024616	4	12012806,12018182,12018448,12024613,	12017024,12018243,12018575,12024782,
NM_130384	ATRIP	chr3	+	48463117	48482068	48463253	48481957	13	48463117,48466446,48468138,48470703,48473662,48475761,48476189,48476512,48480147,48480443,48480984,48481233,48481889,	48463500,48466580,48468309,48470822,48473820,48475857,48476319,48477202,48480284,48480535,48481065,48481486,48482068,
NM_003656	CAMK1	chr3	-	9774030	9786668	9774222	9784433	12	9774030,9774412,9776171,9776355,9777339,9778144,9778314,9779597,9779822,9782442,9784350,9786515,	9774305,9774530,9776259,9776434,9777452,9778220,9778441,9779736,9779897,9782574,9784465,9786668,
NM_003124	SPR	chr2	+	72968019	72972794	72968069	72972174	3	72968019,72968950,72971983,	72968373,72969241,72972794,
NM_144566	ZNF700	chr19	+	11896882	11922576	11897025	11922068	4	11896882,11918995,11919328,11920090,	11897088,11919122,11919389,11922576,
NM_001100598	ZNF707	chr8	+	144838609	144850569	144844266	144848688	6	144838609,144843361,144844214,144845230,144845757,144847828,	144838700,144843459,144844281,144845357,144845871,144850569,
NM_001744	CAMK4	chr5	+	110587845	110853670	110588080	110848063	11	110587845,110707620,110738446,110740456,110758306,110810282,110812725,110836907,110841977,110846381,110847622,	110588241,110707699,110738509,110740539,110758379,110810373,110812800,110836983,110842104,110846534,110853670,
NM_001033723	ZNF704	chr8	-	81703250	81949571	81716155	81896384	9	81703250,81717824,81734374,81739604,81745292,81762015,81767793,81896163,81949360,	81716267,81717919,81734479,81739872,81745393,81762248,81767897,81896405,81949571,
NM_032786	ZC3H10	chr12	+	54798296	54807563	54800613	54801918	3	54798296,54799138,54800561,	54798369,54799202,54807563,
NM_018683	RNF114	chr20	+	47986320	48003821	47986356	48002085	6	47986320,47991504,47995325,47996079,47999191,48002019,	47986496,47991655,47995432,47996194,47999299,48003821,
NM_014455	RNF115	chr1	+	144322346	144404036	144322596	144399577	9	144322346,144357471,144361839,144374515,144393379,144394931,144395941,144398332,144399445,	144322698,144357530,144361897,144374724,144393451,144395004,144396035,144398448,144404036,
NM_018471	ZC3H15	chr2	+	187059129	187082329	187059354	187081705	10	187059129,187068204,187073153,187074244,187075467,187077003,187078422,187078711,187079684,187081514,	187059429,187068306,187073265,187074397,187075559,187077186,187078569,187078813,187079808,187082329,
NM_024824	ZC3H14	chr14	+	88099005	88149604	88099230	88147848	17	88099005,88099747,88104135,88107180,88108126,88108674,88110789,88111936,88114081,88132830,88138020,88138924,88143339,88145363,88145808,88146930,88147841,	88099266,88099790,88104250,88107221,88108322,88109104,88110950,88112037,88114237,88132905,88138180,88139157,88143460,88145500,88145900,88147037,88149604,
NM_019036	HMGCLL1	chr6	-	55407130	55551971	55408418	55551812	10	55407130,55412190,55468175,55471992,55486804,55489264,55514485,55514816,55549834,55551704,	55408520,55412316,55468364,55472056,55486953,55489360,55514593,55514897,55549924,55551971,
NM_144604	ZC3H18	chr16	+	87164289	87225706	87171032	87225208	18	87164289,87171018,87180508,87192086,87192528,87193699,87202842,87205176,87216105,87217127,87217866,87218510,87219110,87221530,87221828,87222666,87224393,87225009,	87164475,87171635,87180593,87192235,87192621,87193857,87202960,87205445,87216297,87217253,87217971,87218654,87219176,87221691,87222028,87222763,87224490,87225706,
