Database of representative transcript models for protein-coding genes in S. cerevisiae and for the poly(A)-tail length standards.
Transcript models are from the Saccharomyces Genome Database, with 3' ends reannotated by David Weinberg.
Coordinates of yeast genes are based on the sacCer3 genome assembly.
GeneID	GeneID	Chromosome	Strand	TxStart	TxEnd	CdsStart	CdsEnd	ExonCount	ExonStarts	ExonEnds
YAL012W	YAL012W	chrI	+	130733	132082	130798	131983	1	130733,	132082,
YAL067C	YAL067C	chrI	-	7234	9016	7234	9016	1	7234,	9016,
YAL061W	YAL061W	chrI	+	33447	34701	33447	34701	1	33447,	34701,
YAL060W	YAL060W	chrI	+	35154	36303	35154	36303	1	35154,	36303,
YAL059W	YAL059W	chrI	+	36508	37147	36508	37147	1	36508,	37147,
YAL058W	YAL058W	chrI	+	37378	39010	37463	38972	1	37378,	39010,
YAL056W	YAL056W	chrI	+	39206	41976	39258	41901	1	39206,	41976,
YAL055W	YAL055W	chrI	+	42175	42804	42176	42719	1	42175,	42804,
YAL054C	YAL054C	chrI	-	42880	45022	42880	45022	1	42880,	45022,
YAL053W	YAL053W	chrI	+	45757	48310	45898	48250	1	45757,	48310,
YAL051W	YAL051W	chrI	+	48537	51856	48563	51707	1	48537,	51856,
YAL049C	YAL049C	chrI	-	51735	52618	51854	52595	1	51735,	52618,
YAL048C	YAL048C	chrI	-	52800	54789	52800	54789	1	52800,	54789,
YAL047C	YAL047C	chrI	-	54988	56857	54988	56857	1	54988,	56857,
YAL046C	YAL046C	chrI	-	57028	57385	57028	57385	1	57028,	57385,
YAL044W-A	YAL044W-A	chrI	+	57515	57958	57517	57850	1	57515,	57958,
YAL044C	YAL044C	chrI	-	57867	58472	57949	58462	1	57867,	58472,
YAL043C	YAL043C	chrI	-	58694	61052	58694	61052	1	58694,	61052,
YAL042W	YAL042W	chrI	+	61298	62654	61315	62563	1	61298,	62654,
YAL041W	YAL041W	chrI	+	62806	65463	62839	65404	1	62806,	65463,
YAL040C	YAL040C	chrI	-	65382	67842	65777	67520	1	65382,	67842,
YAL039C	YAL039C	chrI	-	68646	69582	68715	69525	1	68646,	69582,
YAL038W	YAL038W	chrI	+	71757	73452	71785	73288	1	71757,	73452,
YAL037C-A	YAL037C-A	chrI	-	73425	73518	73425	73518	1	73425,	73518,
YAL037W	YAL037W	chrI	+	74019	74823	74019	74823	1	74019,	74823,
YAL036C	YAL036C	chrI	-	74853	76190	75042	76152	1	74853,	76190,
YAL035W	YAL035W	chrI	+	76399	79561	76426	79435	1	76399,	79561,
YAL034W-A	YAL034W-A	chrI	+	79672	80744	79717	80587	1	79672,	80744,
YAL034C	YAL034C	chrI	-	80709	81951	80709	81951	1	80709,	81951,
YAL033W	YAL033W	chrI	+	82686	83297	82705	83227	1	82686,	83297,
YAL032C	YAL032C	chrI	-	83209	84495	83334	84474	1	83209,	84495,
YAL031C	YAL031C	chrI	-	84599	87079	84748	87031	1	84599,	87079,
YAL030W	YAL030W	chrI	+	87262	87856	87285	87752	2	87262,87500,	87387,87856,
YAL029C	YAL029C	chrI	-	87751	92523	87854	92270	1	87751,	92523,
YAL028W	YAL028W	chrI	+	92899	94486	92899	94486	1	92899,	94486,
YAL027W	YAL027W	chrI	+	94605	95578	94686	95472	1	94605,	95578,
YAL026C	YAL026C	chrI	-	95629	99697	95629	99697	1	95629,	99697,
YAL025C	YAL025C	chrI	-	100057	101169	100224	101145	1	100057,	101169,
YAL024C	YAL024C	chrI	-	101370	106008	101564	105872	1	101370,	106008,
YAL023C	YAL023C	chrI	-	106169	108640	106271	108551	1	106169,	108640,
YAL022C	YAL022C	chrI	-	108834	110447	108876	110430	1	108834,	110447,
YAL021C	YAL021C	chrI	-	110619	113419	110845	113359	1	110619,	113419,
YAL020C	YAL020C	chrI	-	113613	114615	113613	114615	1	113613,	114615,
YAL019W	YAL019W	chrI	+	114807	118391	114918	118314	1	114807,	118391,
YAL018C	YAL018C	chrI	-	118563	119541	118563	119541	1	118563,	119541,
YAL017W	YAL017W	chrI	+	120224	124295	120224	124295	1	120224,	124295,
YAL016W	YAL016W	chrI	+	124790	126851	124878	126786	1	124790,	126851,
YAL015C	YAL015C	chrI	-	126902	128102	126902	128102	1	126902,	128102,
YAL014C	YAL014C	chrI	-	128207	129068	128251	129019	1	128207,	129068,
YAL013W	YAL013W	chrI	+	129250	130583	129269	130487	1	129250,	130583,
YAL011W	YAL011W	chrI	+	132183	134173	132198	134076	1	132183,	134173,
YAL010C	YAL010C	chrI	-	134074	135707	134183	135665	1	134074,	135707,
YAL009W	YAL009W	chrI	+	135827	136756	135853	136633	1	135827,	136756,
YAL008W	YAL008W	chrI	+	136864	137685	136913	137510	1	136864,	137685,
YAL007C	YAL007C	chrI	-	137531	138421	137697	138345	1	137531,	138421,
YAL003W	YAL003W	chrI	+	142151	143381	142173	143160	2	142151,142619,	142253,143381,
YAL002W	YAL002W	chrI	+	143570	147637	143706	147531	1	143570,	147637,
YAL001C	YAL001C	chrI	-	147513	151204	147593	151166	2	147513,151096,	151006,151204,
YAR002W	YAR002W	chrI	+	152213	153970	152256	153876	1	152213,	153970,
YAR002C-A	YAR002C-A	chrI	-	154064	154724	154064	154724	1	154064,	154724,
YAR003W	YAR003W	chrI	+	154918	156760	155004	156285	1	154918,	156760,
YAR007C	YAR007C	chrI	-	156683	158662	156753	158619	1	156683,	158662,
YAR008W	YAR008W	chrI	+	158871	159906	158965	159793	1	158871,	159906,
YAR014C	YAR014C	chrI	-	166563	169022	166741	168871	1	166563,	169022,
YAR015W	YAR015W	chrI	+	169270	170390	169374	170295	1	169270,	170390,
YAR018C	YAR018C	chrI	-	170395	171703	170395	171703	1	170395,	171703,
YAR019C	YAR019C	chrI	-	172118	175169	172210	175135	1	172118,	175169,
YAR023C	YAR023C	chrI	-	179198	179948	179280	179820	1	179198,	179948,
YAR027W	YAR027W	chrI	+	183769	184477	183769	184477	1	183769,	184477,
YAR028W	YAR028W	chrI	+	184866	185794	184891	185596	1	184866,	185794,
YAR029W	YAR029W	chrI	+	186320	186545	186320	186545	1	186320,	186545,
