Database of representative transcript models for protein-coding genes in S. pombe and for the poly(A)-tail length standards.
Transcript models are from Pombase.
Coordinates of S. pombe genes are based on the ASM294v2.21 genome assembly.
TranscriptID	TranscriptID	Chromosome	Strand	TxStart	TxEnd	CdsStart	CdsEnd	ExonCount	ExonStarts	ExonEnds
SPAC1002.01.1	SPAC1002.01.1	chr1	+	1798346	1799015	1798346	1799015	2	1798346,1798959,	1798830,1799015,
SPAC1002.02.1	SPAC1002.02.1	chr1	+	1799060	1800053	1799127	1799817	1	1799060,	1800053,
SPAC1002.03c.1	SPAC1002.03c.1	chr1	-	1799914	1803141	1800211	1802983	1	1799914,	1803141,
SPAC1002.04c.1	SPAC1002.04c.1	chr1	-	1803623	1804491	1803772	1804372	1	1803623,	1804491,
SPAC1002.05c.1	SPAC1002.05c.1	chr1	-	1804547	1806797	1804649	1806797	1	1804547,	1806797,
SPAC1002.06c.1	SPAC1002.06c.1	chr1	-	1807269	1807781	1807269	1807781	3	1807269,1807482,1807717,	1807402,1807642,1807781,
SPAC1002.07c.1	SPAC1002.07c.1	chr1	-	1807995	1809433	1808241	1809241	6	1807995,1808427,1808629,1808706,1808799,1809165,	1808376,1808538,1808660,1808741,1808918,1809433,
SPAC1002.08c.1	SPAC1002.08c.1	chr1	-	1809479	1811361	1810022	1811123	1	1809479,	1811361,
SPAC1002.09c.1	SPAC1002.09c.1	chr1	-	1811407	1813805	1812132	1813668	1	1811407,	1813805,
SPAC1002.10c.1	SPAC1002.10c.1	chr1	-	1813739	1815796	1813854	1815627	1	1813739,	1815796,
SPAC1002.11.1	SPAC1002.11.1	chr1	+	1816489	1818558	1816652	1818398	1	1816489,	1818558,
SPAC1002.12c.1	SPAC1002.12c.1	chr1	-	1818481	1820420	1818694	1820338	1	1818481,	1820420,
SPAC1002.13c.1	SPAC1002.13c.1	chr1	-	1821400	1823413	1821935	1823189	1	1821400,	1823413,
SPAC1002.14.1	SPAC1002.14.1	chr1	+	1824569	1826248	1824784	1826092	1	1824569,	1826248,
SPAC1002.15c.1	SPAC1002.15c.1	chr1	-	1824485	1827260	1826159	1827061	4	1824485,1826464,1826602,1826964,	1826423,1826547,1826809,1827260,
SPAC1002.16c.1	SPAC1002.16c.1	chr1	-	1827611	1829708	1827870	1829370	1	1827611,	1829708,
SPAC1002.17c.1	SPAC1002.17c.1	chr1	-	1830608	1831951	1831011	1831626	1	1830608,	1831951,
SPAC1002.18.1	SPAC1002.18.1	chr1	+	1832316	1833811	1832456	1833656	1	1832316,	1833811,
SPAC1002.19.1	SPAC1002.19.1	chr1	+	1835269	1837060	1835468	1836788	1	1835269,	1837060,
SPAC1002.20.1	SPAC1002.20.1	chr1	+	1823881	1824630	1823971	1824277	1	1823881,	1824630,
SPAC1006.01.1	SPAC1006.01.1	chr1	+	5067493	5069371	5067839	5069195	1	5067493,	5069371,
SPAC1006.02.1	SPAC1006.02.1	chr1	+	5069558	5070998	5069695	5070802	1	5069558,	5070998,
SPAC1006.03c.1	SPAC1006.03c.1	chr1	-	5070930	5074055	5071211	5073872	4	5070930,5071461,5073388,5073727,	5071417,5073188,5073449,5074055,
SPAC1006.04c.1	SPAC1006.04c.1	chr1	-	5074101	5078206	5075135	5077994	1	5074101,	5078206,
SPAC1006.05c.1	SPAC1006.05c.1	chr1	-	5078288	5080499	5079185	5080376	1	5078288,	5080499,
SPAC1006.06.1	SPAC1006.06.1	chr1	+	5080717	5085055	5081104	5084680	3	5080717,5083662,5084128,	5083607,5084084,5085055,
SPAC1006.07.1	SPAC1006.07.1	chr1	+	5085485	5087031	5085562	5086741	1	5085485,	5087031,
SPAC1006.08.1	SPAC1006.08.1	chr1	+	5087985	5089638	5088088	5089326	2	5087985,5089060,	5088998,5089638,
SPAC1006.09.1	SPAC1006.09.1	chr1	+	5089814	5094848	5090440	5094751	1	5089814,	5094848,
SPAC1039.01.1	SPAC1039.01.1	chr1	+	5444359	5447537	5445349	5447053	3	5444359,5444447,5445327,	5444400,5445123,5447537,
SPAC1039.02.1	SPAC1039.02.1	chr1	+	5448734	5451642	5449716	5451522	1	5448734,	5451642,
SPAC1039.03.1	SPAC1039.03.1	chr1	+	5452104	5453867	5452728	5453754	1	5452104,	5453867,
SPAC1039.04.1	SPAC1039.04.1	chr1	+	5454582	5456656	5454900	5456424	1	5454582,	5456656,
SPAC1039.05c.1	SPAC1039.05c.1	chr1	-	5456673	5459789	5456744	5459395	6	5456673,5456839,5457527,5457871,5458046,5459274,	5456788,5457472,5457826,5457993,5459173,5459789,
SPAC1039.06.1	SPAC1039.06.1	chr1	+	5460197	5462354	5460566	5461814	1	5460197,	5462354,
SPAC1039.07c.1	SPAC1039.07c.1	chr1	-	5462117	5463989	5462442	5463789	1	5462117,	5463989,
SPAC1039.08.1	SPAC1039.08.1	chr1	+	5463862	5465172	5464247	5465060	1	5463862,	5465172,
SPAC1039.09.1	SPAC1039.09.1	chr1	+	5465376	5468649	5466777	5468520	1	5465376,	5468649,
SPAC1039.10.1	SPAC1039.10.1	chr1	+	5470431	5471520	5470913	5471350	3	5470431,5470573,5471283,	5470525,5471227,5471520,
SPAC1039.11c.1	SPAC1039.11c.1	chr1	-	5471269	5474941	5471560	5474548	1	5471269,	5474941,
SPAC105.01c.1	SPAC105.01c.1	chr1	-	1740312	1743699	1740615	1743501	3	1740312,1743298,1743420,	1743124,1743378,1743699,
SPAC105.02c.1	SPAC105.02c.1	chr1	-	1744018	1745658	1744747	1745597	3	1744018,1745234,1745572,	1744950,1745519,1745658,
SPAC105.03c.1	SPAC105.03c.1	chr1	-	1746467	1749242	1746917	1749044	1	1746467,	1749242,
