Database of representative transcript models for protein-coding genes in 3T3 cells and for the poly(A)-tail length standards.
Transcript models from the UCSC refFlat table for mouse had their 3' ends re-annotated using 3P-Seq (Jan et al., Nature 2011) data from 3T3 cells; only genes detected by 3P-Seq are included in the table.
Coordinates of mouse genes are based on the mm9 genome assembly.
RefseqAccession	GeneSymbol	Chromosome	Strand	TxStart	TxEnd	CdsStart	CdsEnd	ExonCount	ExonStarts	ExonEnds
NM_172856	Cers6	chr2	+	68699613	68952338	68699692	68946651	10	68699613,68772571,68785283,68840803,68885201,68888836,68906685,68909388,68943059,68946498,	68699862,68772677,68785414,68840861,68885252,68888929,68906814,68909495,68943216,68952338,
NM_138752	Plekhg2	chr7	-	29144622	29157681	29144823	29156242	19	29144622,29146826,29147844,29149316,29149489,29149603,29149743,29149935,29150300,29150471,29152653,29152992,29153309,29153697,29153839,29155079,29155256,29156133,29156878,	29146280,29147727,29148018,29149333,29149528,29149651,29149845,29149969,29150387,29150564,29152854,29153130,29153460,29153744,29153906,29155180,29155516,29156264,29157681,
NM_026058	Cers4	chr8	+	4493404	4525466	4515555	4523780	11	4493404,4515554,4516872,4518239,4518602,4519462,4520215,4520553,4521173,4523353,4523603,	4493590,4515728,4516990,4518358,4518660,4519513,4520308,4520682,4521280,4523510,4525466,
NM_001159942	Plekhg1	chr10	-	6379246	6606164	6382088	6473507	17	6379246,6388335,6394207,6396835,6398937,6400616,6405814,6406007,6406189,6408559,6412793,6416287,6427335,6442883,6473099,6543740,6606000,	6383140,6389995,6394230,6396874,6399021,6400650,6405907,6406103,6406372,6408691,6412944,6416334,6427405,6442984,6473614,6543801,6606164,
NM_029789	Cers2	chr3	+	95119173	95127512	95123984	95126711	11	95119173,95123983,95124563,95124863,95125111,95125257,95125496,95125752,95126048,95126241,95126570,	95119267,95124157,95124681,95124982,95125169,95125308,95125589,95125881,95126155,95126395,95127512,
NM_001081333	Plekhg4	chr8	+	107899280	107906754	107899280	107906141	21	107899280,107899915,107900089,107900319,107900493,107900648,107900936,107901124,107901438,107901666,107902199,107902580,107903154,107904022,107904193,107904501,107904750,107905294,107905533,107905840,107906135,	107899755,107900011,107900213,107900413,107900568,107900765,107901035,107901273,107901577,107901783,107902382,107903086,107903401,107904112,107904415,107904672,107904928,107905411,107905758,107905956,107906754,
NM_138647	Cers1	chr8	+	72839673	72855472	72839758	72853479	8	72839673,72842089,72845402,72846426,72847000,72847259,72853436,72854597,	72840007,72842249,72845583,72846588,72847148,72847369,72854175,72855472,
NM_021552	Nsa2	chr13	-	97899362	97907881	97901115	97907712	6	97899362,97901797,97903493,97905248,97905475,97907709,	97901183,97901990,97903673,97905399,97905663,97907881,
NM_172919	Zfp846	chr9	+	20385771	20399635	20392334	20398915	6	20385771,20392278,20392952,20395256,20395782,20397604,	20386122,20392367,20393079,20395328,20395865,20399635,
NM_021524	Nampt	chr12	+	33505199	33538233	33505434	33535398	11	33505199,33515031,33517896,33519766,33523163,33524015,33525789,33527549,33531570,33533481,33535287,	33505491,33515188,33518000,33519895,33523322,33524152,33526015,33527669,33531711,33533616,33538233,
