# these clusters are supported by 3P tags from at least two unique RNA molecules
# either from a single library with unique reads in the cluster, or multiple libraries
# cluster start and end coordinates are the largest and smallest coordinate of 3' ends from 3P tags that mapped within that cluster.
# coordinates are 0-based in WS190/ce6
#entrezGeneId	lib	chr	start	end	cleavageSite	readNum	sense	phase	refSeqs(comma_separated)
171852	all	chrI	2869767	2869775	2869767	21.0	+	.	NM_058658
172461	all	chrI	7227604	7227607	7227607	2.0	+	.	NM_001128942,NM_059640
190484	all	chrI	624442	624448	624445	46.0	+	.	NM_058358
172901	all	chrI	10330973	10330983	10330983	4.0	+	.	NM_060307
171758	all	chrI	1883691	1883693	1883691	3.0	+	.	NM_058512
171917	all	chrI	3484499	3484511	3484502	8.0	+	.	NM_058767
172818	all	chrI	9690097	9690108	9690102	143.0	+	.	NM_060175
3565192	all	chrI	7184720	7184720	7184720	10.0	+	.	NM_059630
259993	all	chrI	8400483	8400492	8400492	5.0	+	.	NM_059877
172032	all	chrI	4302241	4302253	4302243	536.0	+	.	NM_058947,NM_182054
3565589	all	chrI	8019538	8019541	8019541	2.0	+	.	NM_059805
172446	all	chrI	7112432	7112443	7112436	220.0	+	.	NM_059613
171623	all	chrI	337839	337846	337839	1186.0	+	.	NM_058318
171875	all	chrI	3021755	3021765	3021765	4.0	+	.	NM_058690
172463	all	chrI	7238756	7238756	7238756	2.0	+	.	NM_059644
172408	all	chrI	6838080	6838083	6838083	32.0	+	.	NM_059554
172944	all	chrI	10569998	10570000	10570000	2.0	+	.	NM_060366
172975	all	chrI	10723590	10723596	10723590	11.0	+	.	NM_060405
172123	all	chrI	5003052	5003061	5003059	20.0	+	.	NM_001026321,NM_001026322
171962	all	chrI	3854234	3854243	3854239	1604.0	+	.	NM_058840
173206	all	chrI	13387489	13387496	13387489	40.0	+	.	NM_060954
173156	all	chrI	12884771	12884771	12884771	1.0	+	.	NM_060851
173226	all	chrI	13575657	13575663	13575657	9.0	+	.	NM_060978
172496	all	chrI	7408236	7408236	7408236	3.0	+	.	NM_059691
173277	all	chrI	14104467	14104477	14104469	61.0	+	.	NM_061061
171605	all	chrI	117494	117507	117498	623.0	+	.	NM_058278
186441	all	chrI	6560216	6560216	6560216	4.0	+	.	NM_059490
172451	all	chrI	7132744	7132744	7132744	2.0	+	.	NM_059618
172970	all	chrI	10688055	10688061	10688057	93.0	+	.	NM_060399
171920	all	chrI	3523279	3523282	3523279	5.0	+	.	NM_058772
172924	all	chrI	10452056	10452062	10452060	162.0	+	.	NM_060331
172945	all	chrI	10571915	10571915	10571915	3.0	+	.	NM_060367,NM_182028
172687	all	chrI	8766337	8766337	8766337	8.0	+	.	NM_059970
173112	all	chrI	12452015	12452025	12452015	15.0	+	.	NM_060758
172018	all	chrI	4212587	4212588	4212588	3.0	+	.	NM_058928
172463	all	chrI	7238801	7238807	7238804	9.0	+	.	NM_059644
171947	all	chrI	3784824	3784824	3784824	3.0	+	.	NM_058817
182446	all	chrI	5493389	5493389	5493389	1.0	+	.	NM_059210
172941	all	chrI	10564888	10564890	10564888	132.0	+	.	NM_060363
173260	all	chrI	13953153	13953159	13953155	13.0	+	.	NM_061034
172804	all	chrI	9624713	9624719	9624714	272.0	+	.	NM_060153
172203	all	chrI	5505285	5505291	5505291	11.0	+	.	NM_001025820,NM_001025821
172445	all	chrI	7106772	7106781	7106775	465.0	+	.	NM_059612
172863	all	chrI	10018104	10018104	10018104	133.0	+	.	NM_060245
172514	all	chrI	7583270	7583270	7583270	6.0	+	.	NM_059719
172030	all	chrI	4271490	4271490	4271490	72.0	+	.	NM_058943
3565850	all	chrI	14019742	14019754	14019745	7699.0	+	.	NM_001026675
172389	all	chrI	6728124	6728130	6728130	4.0	+	.	NM_059524
173228	all	chrI	13581827	13581831	13581828	7.0	+	.	NM_060980
171865	all	chrI	2929474	2929477	2929477	2.0	+	.	NM_058675
173107	all	chrI	12336583	12336593	12336590	100.0	+	.	NM_060719
173359	all	chrI	14875418	14875421	14875421	4.0	+	.	NM_061197
172948	all	chrI	10590444	10590461	10590452	125.0	+	.	NM_001026457,NM_001026458
171602	all	chrI	112294	112294	112294	1.0	+	.	NM_058275
172209	all	chrI	5561560	5561565	5561565	3.0	+	.	NM_001047214,NM_001129022,NM_001129023,NM_059222,NM_059225,NM_170866
172986	all	chrI	10806874	10806878	10806878	346.0	+	.	NM_060422
172595	all	chrI	8098433	8098443	8098437	548.0	+	.	NM_059823
172019	all	chrI	4214313	4214318	4214315	202.0	+	.	NM_058929
172624	all	chrI	8398629	8398629	8398629	3.0	+	.	NM_001026450,NM_059874,NM_059875
259373	all	chrI	4426170	4426178	4426178	425.0	+	.	NM_058966
6418616	all	chrI	11162596	11162600	11162600	5.0	+	.	NM_001129094
171996	all	chrI	4135299	4135305	4135305	4.0	+	.	NM_058901,NM_182055
172941	all	chrI	10564912	10564913	10564913	2.0	+	.	NM_060363
