Database of representative transcript models for protein-coding genes in HeLa cells and for the poly(A)-tail length standards.
Transcript models from the UCSC refFlat table for human had their 3' ends re-annotated using 3P-Seq (Jan et al., Nature 2011) data from HeLa cells; only genes detected by 3P-Seq are included in the table.
Coordinates of human genes are based on the hg18 genome assembly.
RefseqAccession	GeneSymbol	Chromosome	Strand	TxStart	TxEnd	CdsStart	CdsEnd	ExonCount	ExonStarts	ExonEnds
NM_017582	UBE2Q1	chr1	-	152787677	152797744	152789537	152797653	13	152787677,152790037,152790496,152790870,152791020,152791192,152791503,152791835,152792131,152793834,152794527,152794959,152797326,	152789569,152790104,152790592,152790919,152791079,152791283,152791564,152791920,152792272,152793885,152794632,152795064,152797744,
NM_001145335	UBE2Q2	chr15	+	73923439	73980462	73923749	73978854	13	73923439,73933781,73939273,73948346,73952823,73955582,73957356,73958493,73962761,73969830,73970314,73976390,73978822,	73923881,73933883,73939378,73948406,73952964,73955667,73957417,73958584,73962820,73969879,73970410,73976457,73980462,
NM_014868	RNF10	chr12	+	119456514	119499730	119456997	119498852	17	119456514,119468590,119474684,119476903,119479467,119479731,119482911,119485130,119485532,119485995,119487257,119487613,119489010,119493376,119497816,119497977,119498775,	119457154,119468787,119474884,119476994,119479652,119479868,119483072,119485256,119485809,119486129,119487375,119487715,119489166,119493477,119497874,119498136,119499730,
NM_014372	RNF11	chr1	+	51474532	51511712	51475016	51509582	3	51474532,51508215,51509410,	51475139,51508385,51511712,
NM_173527	REM2	chr14	+	22422271	22426727	22422336	22425958	5	22422271,22423722,22424314,22425072,22425662,	22422439,22424064,22424388,22425280,22426727,
NM_004710	SYNGR2	chr17	+	73676265	73680402	73676292	73679612	4	73676265,73678492,73679185,73679414,	73676391,73678730,73679325,73680402,
NM_001040161	C16orf13	chr16	-	624430	626348	624597	626291	3	624430,624719,626094,	624645,624798,626348,
NM_001085365	MZT2A	chr2	-	131958017	131966534	131958103	131966419	3	131958017,131965918,131966249,	131958261,131966067,131966534,
NM_025029	MZT2B	chr2	+	130655970	130664755	130656325	130664669	3	130655970,130656669,130664511,	130656495,130656818,130664755,
NM_000303	PMM2	chr16	+	8799170	8850683	8799240	8849183	8	8799170,8803156,8806124,8807673,8812436,8812995,8814348,8849081,	8799306,8803268,8806201,8807765,8812536,8813071,8814464,8850683,
