Database of representative transcript models for protein-coding genes in Drosophila S2 cells and for the poly(A)-tail length standards.
Transcript models from the UCSC refFlat table for D. melanogaster had their 3' ends re-annotated using 3P-Seq (Jan et al., Nature 2011) data from S2 cells; only genes detected by 3P-Seq are included in the table.
Coordinates of fly genes are based on the dm3 genome assembly.
RefseqAccession	GeneSymbol	Chromosome	Strand	TxStart	TxEnd	CdsStart	CdsEnd	ExonCount	ExonStarts	ExonEnds
NM_001104437	CG11791	chr3R	+	20875964	20878796	20877035	20878357	3	20875964,20876902,20878204,	20876339,20877278,20878796,
NM_170192	CG11790	chr3R	+	20873427	20875172	20873784	20875156	4	20873427,20874163,20874386,20874993,	20874071,20874325,20874512,20875172,
NM_136987	CG13321	chr2R	+	8841060	8842737	8841161	8842580	4	8841060,8841462,8842005,8842280,	8841168,8841854,8842167,8842737,
NM_136984	CG13322	chr2R	-	8821738	8824032	8822256	8823458	5	8821738,8822670,8823067,8823283,8823829,	8822614,8823004,8823205,8823765,8824032,
NM_140651	CG4101	chr3L	+	16605585	16606050	16605675	16605939	1	16605585,	16606050,
NM_057857	snRNP-U1-70K	chr2L	-	6969642	6971737	6970115	6971462	2	6969642,6971588,	6971509,6971737,
NM_136422	Br140	chr2R	-	3160049	3165606	3160776	3165387	4	3160049,3162590,3162918,3164243,	3162394,3162862,3164177,3165606,
NM_166749	Syt7	chr4	-	300494	327107	301051	325802	10	300494,300950,301122,302349,302573,303061,322867,323011,325641,327065,	300865,301057,301163,302518,302654,303364,322949,323152,325804,327107,
NM_138243	Sac1	chr3L	+	1248019	1250451	1248290	1250069	2	1248019,1248255,	1248188,1250451,
NM_143761	Cyp6a17	chr2R	+	10761458	10763063	10761484	10763050	2	10761458,10762628,	10762568,10763063,
NM_206606	eIF2B-epsilon	chrX	-	1814201	1816917	1814584	1816856	5	1814201,1814861,1815213,1816575,1816763,	1814800,1815148,1816502,1816700,1816917,
NM_164867	CG31710	chr2L	-	9702946	9705954	9703081	9703539	3	9702946,9703267,9705779,	9703178,9703605,9705954,
NM_135483	CG31712	chr2L	-	9934766	9938134	9935255	9938005	4	9934766,9935485,9937237,9937657,	9935423,9935569,9937510,9938134,
NM_164917	CG31715	chr2L	+	10341615	10342573	10341681	10342375	4	10341615,10341821,10342149,10342288,	10341765,10341932,10342233,10342573,
NM_164902	CG31717	chr2L	+	10250736	10251732	10250818	10251501	2	10250736,10250895,	10250827,10251732,
NM_131969	CG4041	chrX	-	4809099	4812478	4809450	4812355	6	4809099,4809618,4809975,4810317,4810577,4812153,	4809555,4809915,4810247,4810524,4811954,4812478,
NM_140993	CG4042	chr3L	-	20763102	20764193	20763302	20764157	1	20763102,	20764193,
NM_130622	CG4045	chrX	-	1968827	1969933	1968899	1969853	4	1968827,1969070,1969239,1969701,	1969004,1969172,1969651,1969933,
NM_001014515	14-3-3zeta	chr2R	+	5988540	5995980	5991852	5995127	7	5988540,5991760,5992221,5992445,5993206,5993445,5994971,	5988602,5991914,5992335,5992572,5993330,5993609,5995980,
NM_140499	Prp31	chr3L	+	15152199	15154238	15152269	15153952	4	15152199,15152424,15152938,15153616,	15152368,15152876,15153557,15154238,
NM_136408	Cyp6u1	chr2R	-	2859500	2862531	2859809	2861334	3	2859500,2860292,2862451,	2860234,2861505,2862531,
NM_141120	CG14561	chr3L	+	22059006	22060367	22059232	22059817	1	22059006,	22060367,
NM_170204	vig2	chr3R	+	20949094	20951221	20949120	20951078	3	20949094,20949353,20950311,	20949201,20949837,20951221,
NM_139693	CG10674	chr3L	-	5128777	5129392	5128939	5129333	2	5128777,5129177,	5129110,5129392,
NM_139691	CG10673	chr3L	-	5131751	5132495	5131779	5132454	1	5131751,	5132495,
NM_139689	CG10672	chr3L	-	5133527	5134746	5133571	5134650	3	5133527,5133939,5134405,	5133877,5134342,5134746,
NM_168110	CG10671	chr3L	-	5137181	5139163	5137495	5138997	2	5137181,5138294,	5138235,5139163,
NM_141715	CG12811	chr3R	-	5872973	5874289	5873102	5874258	3	5872973,5873562,5874138,	5873491,5873665,5874289,
