Database of representative transcript models for protein-coding genes in X. laevis and for the poly(A)-tail length standards.
Transcript models were curated from Unigene; the sequence of each transcript is provided in an accompanying file (Xenopus_whole_transcripts.txt).
Coordinates of each Xenopus gene are in reference to the corresponding sequence in Xenopus_whole_transcripts.txt.
UniqueID	GeneName	UniqueID	Strand	TxStart	TxEnd	CdsStart	CdsEnd	ExonCount	ExonStarts	ExonEnds
27924441	similar to protein regulator of cytokinesis 1-like	27924441	+	0	2909	112	1858	1	0	2909,
51873781	MGC85335 protein	51873781	+	0	1269	32	728	1	0	1269,
32484377	protease (prosome	32484377	+	0	1596	31	1354	1	0	1596,
49114953	RRM-containing protein SEB-4	49114953	+	0	2336	210	888	1	0	2336,
27696465	ubiquitin specific protease 46	27696465	+	0	2022	467	1217	1	0	2022,
52789233	Protein FAM83G	52789233	+	0	3818	107	2909	1	0	3818,
34784625	gamma-tubulin interacting protein	34784625	+	0	3667	143	2864	1	0	3667,
54647584	hypothetical LOC495425	54647584	+	0	1755	469	856	1	0	1755,
2231168	MCM2 mRNA	2231168	+	0	3280	54	2715	1	0	3280,
49115399	MGC80767 protein	49115399	+	0	4131	162	894	1	0	4131,
51258804	MGC84484 protein	51258804	+	0	2159	437	842	1	0	2159,
49256037	MGC81316 protein	49256037	+	0	2068	252	2022	1	0	2068,
83405122	hypothetical protein MGC131208	83405122	+	0	4070	476	3989	1	0	4070,
114108316	hypothetical protein LOC733172	114108316	+	0	1261	233	1112	1	0	1261,
68533960	hypothetical protein MGC115614	68533960	+	0	3775	121	1672	1	0	3775,
122936411	ribosomal protein S2e	122936411	+	0	1686	500	1577	1	0	1686,
904037	Xnr-2 mRNA	904037	+	0	1460	47	1265	1	0	1460,
50417570	regulator of G-protein signalling 20	50417570	+	0	1915	147	909	1	0	1915,
47939758	hypothetical protein LOC398512	47939758	+	0	6570	78	4818	1	0	6570,
58402659	hypothetical protein MGC85030	58402659	+	0	2458	208	1162	1	0	2458,
54648449	hypothetical LOC495414	54648449	+	0	3565	143	2798	1	0	3565,
37590723	hypothetical protein MGC69076	37590723	+	0	2627	98	977	1	0	2627,
76779944	hypothetical protein MGC130969	76779944	+	0	1677	76	1324	1	0	1677,
66910738	hypothetical protein MGC114881	66910738	+	0	1635	240	1092	1	0	1635,
50604252	RAB8B	50604252	+	0	2248	21	645	1	0	2248,
49118866	MGC80902 protein	49118866	+	0	2405	123	2145	1	0	2405,
49257400	MGC80165 protein	49257400	+	0	1382	48	858	1	0	1382,
115529172	TBCC domain-containing protein 1	115529172	+	0	1913	92	1736	1	0	1913,
5524664	frizzled 9 mRNA	5524664	+	0	3026	108	1851	1	0	3026,
114108182	inhibitor of growth family	114108182	+	0	1408	182	1028	1	0	1408,
132424623	preproendothelin-1 (PPET-1) mRNA	132424623	+	0	1159	55	727	1	0	1159,
49258004	MGC83970 protein	49258004	+	0	1417	119	674	1	0	1417,
52138930	hypothetical LOC494688	52138930	+	0	1316	25	625	1	0	1316,
68534331	hypothetical protein LOC443569	68534331	+	0	2784	147	2175	1	0	2784,
31455446	mRNA for xBMP-3b	31455446	+	0	1333	0	1332	1	0	1333,
50417419	MGC79056 protein	50417419	+	0	3468	73	2737	1	0	3468,
2447042	mRNA for xSox7 protein	2447042	+	0	1981	65	1154	1	0	1981,
38197302	hypothetical protein MGC68519	38197302	+	0	1253	96	1056	1	0	1253,
47123084	Nuclear distribution protein nudE homolog 1-B	47123084	+	0	1946	209	1190	1	0	1946,
12007281	spalt transcription factor Sall1 (sall1) mRNA	12007281	+	0	5325	123	4257	1	0	5325,
50415277	MGC82459 protein	50415277	+	0	2286	115	1990	1	0	2286,
4140243	mRNA for cytochrome P450	4140243	+	0	2619	120	1701	1	0	2619,
51261966	MGC81856 protein	51261966	+	0	2263	126	1467	1	0	2263,
1150837	neural specific DNA binding protein (Xgli4) mRNA	1150837	+	0	4642	292	4378	1	0	4642,
49115712	MGC82682 protein	49115712	+	0	1044	122	776	1	0	1044,
76779571	hypothetical protein MGC131173	76779571	+	0	1140	187	688	1	0	1140,
49903430	dystrobrevin binding protein 1	49903430	+	0	1974	138	1089	1	0	1974,
163916249	hypothetical protein LOC100137697	163916249	+	0	2110	206	1814	1	0	2110,
54035219	cDNA clone MGC:84125 IMAGE:6950770	54035219	+	0	2323	72	1965	1	0	2323,
49257672	MGC84256 protein	49257672	+	0	3373	230	2261	1	0	3373,
54261573	MAD2 mitotic arrest deficient-like 2 (yeast)	54261573	+	0	1554	31	667	1	0	1554,
49117979	MGC80388 protein	49117979	+	0	1952	10	1780	1	0	1952,
169641983	hypothetical protein LOC100158281	169641983	+	0	2965	92	2498	1	0	2965,
27463037	Riddle 1 (Rdd1) mRNA	27463037	+	0	506	107	395	1	0	506,
116063468	3-alpha-hydroxysteroid dehydrogenase	116063468	+	0	1162	26	1001	1	0	1162,
80477128	hypothetical protein MGC131295	80477128	+	0	1664	378	1596	1	0	1664,
68534870	hypothetical protein MGC116558	68534870	+	0	1344	4	1033	1	0	1344,
49256463	MGC81896 protein	49256463	+	0	2050	65	1478	1	0	2050,
47937627	similar to HIV-1 rev binding protein 2	47937627	+	0	1781	256	1375	1	0	1781,
148744499	cDNA clone MGC:160888 IMAGE:7974690	148744499	+	0	2553	50	2021	1	0	2553,
50417580	RING finger and transmembrane domain-containing protein 1	50417580	+	0	2241	166	1342	1	0	2241,
47124723	hypothetical protein MGC82210	47124723	+	0	4143	150	903	1	0	4143,
171846430	RECQL4-helicase-like protein	171846430	+	0	4737	80	4595	1	0	4737,
28316401	smc5 mRNA for structural maintenance of chromosomes protein 5	28316401	+	0	3203	0	3198	1	0	3203,
4324638	RRM-type RNA-binding protein hermes mRNA	4324638	+	0	1720	317	908	1	0	1720,
49119325	gap junction protein	49119325	+	0	3926	142	1282	1	0	3926,
49523207	hypothetical protein MGC84323	49523207	+	0	816	149	668	1	0	816,
